"No_animals","Confirmation_date"
3,2022-09-29
11,2022-10-13
1,2022-10-13
3,2022-10-11
1,2022-10-11
1,2022-10-14
1,2022-10-17
18,2022-10-17
2,2022-10-20
1,2022-10-20
2,2022-10-25
1,2022-11-07
1,2022-11-07
8,2022-11-04
1,2022-11-07
36,2022-11-07
1,2022-11-08
1,2022-11-10
1,2022-11-10
1,2022-11-10
1,2022-11-10
1,2022-11-12
1,2022-12-14
1,2022-11-16
1,2022-11-17
1,2022-11-18
1,2022-11-22
1,2022-11-23
1,2022-11-25
1,2022-11-28
1,2022-11-25
1,2022-11-25
1,2022-11-26
43,2022-11-22
1,2022-11-18
1,2022-12-02
1,2022-12-06
1,2022-12-06
1,2022-12-14
1,2022-12-14
1,2022-12-14
1,2022-12-14
1,2022-12-16
2,2022-12-19
1,2022-12-22
1,2022-12-23
1,2022-12-22
1,2022-12-30
1,2023-01-03
2,2023-01-03
1,2023-01-05
1,2023-01-04
1,2023-01-04
2,2023-01-05
1,2023-01-10
1,2023-01-17
1,2023-01-27
1,2023-02-03
1,2023-02-09
2,2023-02-03
1,2023-02-10
1,2023-02-13
1,2023-02-13
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-10
1,2023-02-14
1,2023-02-15
9,2023-02-15
1,2023-02-15
1,2023-02-15
1,2023-02-16
1,2023-02-17
1,2023-02-17
1,2023-02-20
1,2023-02-21
1,2023-02-21
1,2023-02-21
1,2023-02-23
1,2023-02-23
1,2023-02-23
1,2023-02-23
1,2023-02-23
1,2023-02-23
1,2023-02-23
1,2023-02-23
1,2023-02-24
1,2023-02-24
1,2023-02-24
1,2023-02-24
10,2023-02-23
5,2023-02-23
1,2023-02-24
1,2023-02-24
1,2023-02-24
1,2023-02-24
1,2023-02-24
1,2023-03-01
1,2023-02-23
1,2023-03-01
1,2023-03-01
1,2023-03-01
1,2023-03-03
4,2023-03-01
1,2023-03-03
1,2023-03-03
1,2023-03-08
1,2023-03-08
1,2023-03-08
1,2023-03-08
1,2023-03-08
1,2023-03-08
1,2023-03-02
1,2023-03-02
1,2023-03-02
1,2023-03-09
1,2023-03-09
1,2023-03-13
1,2023-03-13
1,2023-03-13
2,2023-03-14
1,2023-03-10
1,2023-03-10
1,2023-03-10
1,2023-03-14
1,2023-03-14
1,2023-03-14
1,2023-03-14
1,2023-03-14
1,2023-03-14
1,2023-03-14
1,2023-03-14
1,2023-03-02
16,2023-03-10
78,2023-03-10
20,2023-03-10
5,2023-03-10
15,2023-03-10
2,2023-03-10
2,2023-03-10
1,2023-03-16
1,2023-03-06
11,2023-03-10
12,2023-03-10
2,2023-03-10
1,2023-03-10
2,2023-03-10
3,2023-03-10
4,2023-03-10
1,2023-03-17
1,2023-03-16
1,2023-03-16
1,2023-03-16
2,2023-03-16
2,2023-03-17
1,2023-03-17
1,2023-03-17
1,2023-03-17
1,2023-03-10
1,2023-03-17
1,2023-03-17
1,2023-03-17
1,2023-03-17
1,2023-03-10
1,2023-03-21
1,2023-03-17
1,2023-03-17
1,2023-03-17
1,2023-03-21
1,2023-03-21
2,2023-03-21
1,2023-03-21
1,2023-03-21
1,2023-03-22
1,2023-03-17
1,2023-03-21
1,2023-03-24
1,2023-03-23
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
2,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-03-29
1,2023-04-03
1,2023-04-03
1,2023-04-03
1,2023-04-03
1,2023-04-03
1,2023-04-04
1,2023-04-05
1,2023-04-06
1,2023-04-06
1,2023-04-06
1,2023-04-07
1,2023-04-13
1,2023-04-12
1,2023-04-13
1,2023-04-05
